CompoundCityId,cityId,stateId
119744-20,119744,20
120097-31,120097,31
118453-19,118453,19
118777-21,118777,21
117770-9,117770,9
116161-9,116161,9
116712-9,116712,9
116987-19,116987,19
115249-24,115249,24
115424-18,115424,18
116158-32,116158,32
114920-40,114920,40
113417-49,113417,49
113500-31,113500,31
113679-48,113679,48
112238-46,112238,46
111665-29,111665,29
110684-18,110684,18
111020-57,111020,57
109847-7,109847,7
110221-22,110221,22
109691-7,109691,7
108602-24,108602,24
106810-58,106810,58
103898-46,103898,46
104901-29,104901,29
103386-19,103386,19
103671-9,103671,9
101545-17,101545,17
100498-22,100498,22
133162-20,133162,20
133353-18,133353,18
132655-45,132655,45
132689-18,132689,18
131550-21,131550,21
131096-58,131096,58
129277-10,129277,10
127509-28,127509,28
126716-9,126716,9
147326-29,147326,29
125090-15,125090,15
123346-26,123346,26
123464-58,123464,58
123737-22,123737,22
120905-9,120905,9
121325-14,121325,14
120510-58,120510,58
119775-9,119775,9
118919-34,118919,34
117577-15,117577,15
118238-35,118238,35
115942-35,115942,35
115990-44,115990,44
116266-45,116266,45
117422-58,117422,58
114807-58,114807,58
115283-44,115283,44
114161-21,114161,21
114738-19,114738,19
113500-29,113500,29
112949-44,112949,44
112338-29,112338,29
112364-9,112364,9
112394-6,112394,6
112459-44,112459,44
111633-32,111633,32
111743-45,111743,45
110666-26,110666,26
108964-34,108964,34
107912-27,107912,27
108187-17,108187,17
108371-28,108371,28
106952-58,106952,58
146605-9,146605,9
106207-22,106207,22
106317-32,106317,32
106590-21,106590,21
106896-36,106896,36
105186-40,105186,40
103751-11,103751,11
104273-21,104273,21
103061-17,103061,17
103258-10,103258,10
103725-9,103725,9
101706-45,101706,45
99857-10,99857,10
100166-30,100166,30
132594-27,132594,27
132761-19,132761,19
132909-9,132909,9
131576-19,131576,19
132368-55,132368,55
132403-34,132403,34
130709-44,130709,44
129191-9,129191,9
129313-31,129313,31
129314-58,129314,58
128378-58,128378,58
128399-26,128399,26
128426-15,128426,15
128741-28,128741,28
146336-40,146336,40
127318-32,127318,32
126277-45,126277,45
147350-46,147350,46
125234-40,125234,40
125609-17,125609,17
124859-15,124859,15
125037-20,125037,20
125059-19,125059,19
125060-30,125060,30
124451-23,124451,23
124627-35,124627,35
124718-17,124718,17
124379-48,124379,48
123110-21,123110,21
123657-15,123657,15
143927-27,143927,27
123874-20,123874,20
120940-9,120940,9
119526-24,119526,24
119694-18,119694,18
118597-24,118597,24
117559-19,117559,19
116294-9,116294,9
117101-31,117101,31
115371-30,115371,30
112919-30,112919,30
112028-34,112028,34
112144-11,112144,11
110443-58,110443,58
110471-19,110471,19
110561-39,110561,39
111117-15,111117,15
111822-22,111822,22
109871-10,109871,10
110286-21,110286,21
109003-20,109003,20
109111-30,109111,30
108586-44,108586,44
106285-22,106285,22
106557-36,106557,36
107481-7,107481,7
144077-27,144077,27
105460-19,105460,19
105620-15,105620,15
104784-9,104784,9
102882-36,102882,36
103132-27,103132,27
102738-55,102738,55
101097-27,101097,27
101712-21,101712,21
100327-45,100327,45
100645-21,100645,21
99617-22,99617,22
99846-22,99846,22
132007-24,132007,24
130621-34,130621,34
127298-9,127298,9
128631-34,128631,34
126374-10,126374,10
126984-19,126984,19
126153-27,126153,27
124885-27,124885,27
124975-20,124975,20
125086-20,125086,20
123762-10,123762,10
124094-9,124094,9
124358-19,124358,19
122279-20,122279,20
122528-58,122528,58
123080-9,123080,9
123145-22,123145,22
120250-22,120250,22
120865-27,120865,27
122076-22,122076,22
119854-20,119854,20
120109-44,120109,44
118542-19,118542,19
117799-19,117799,19
117865-36,117865,36
115784-45,115784,45
114839-19,114839,19
115571-20,115571,20
113987-21,113987,21
114565-20,114565,20
114738-22,114738,22
113290-9,113290,9
113388-34,113388,34
112732-10,112732,10
113025-58,113025,58
113033-58,113033,58
111345-17,111345,17
112149-44,112149,44
112471-43,112471,43
110518-29,110518,29
111204-30,111204,30
145272-27,145272,27
109534-34,109534,34
110007-44,110007,44
108467-26,108467,26
108080-44,108080,44
146604-26,146604,26
107391-45,107391,45
106091-26,106091,26
104794-58,104794,58
104938-19,104938,19
105513-18,105513,18
103951-19,103951,19
104448-55,104448,55
104635-46,104635,46
102781-58,102781,58
103113-22,103113,22
103742-23,103742,23
146544-22,146544,22
100509-30,100509,30
100100-21,100100,21
99699-10,99699,10
132905-21,132905,21
131778-27,131778,27
131923-32,131923,32
130623-45,130623,45
131213-22,131213,22
126351-58,126351,58
126636-7,126636,7
125305-38,125305,38
125722-22,125722,22
124711-38,124711,38
124827-21,124827,21
123981-55,123981,55
122588-28,122588,28
123551-21,123551,21
121988-22,121988,22
122211-31,122211,31
122381-23,122381,23
119668-20,119668,20
119811-17,119811,17
118147-28,118147,28
146083-34,146083,34
117300-58,117300,58
115283-29,115283,29
115398-16,115398,16
115403-22,115403,22
115684-21,115684,21
115241-19,115241,19
115242-58,115242,58
113961-18,113961,18
113991-21,113991,21
111714-39,111714,39
110310-20,110310,20
111234-17,111234,17
108738-5,108738,5
109303-22,109303,22
109353-44,109353,44
108041-26,108041,26
108073-34,108073,34
107727-34,107727,34
105501-40,105501,40
104945-6,104945,6
104974-27,104974,27
104358-20,104358,20
104594-34,104594,34
103201-15,103201,15
103424-9,103424,9
104007-35,104007,35
104031-31,104031,31
102229-5,102229,5
102748-45,102748,45
102852-44,102852,44
101552-58,101552,58
101612-58,101612,58
99912-17,99912,17
133171-17,133171,17
148217-58,148217,58
132790-9,132790,9
131297-48,131297,48
131344-22,131344,22
131585-30,131585,30
131782-24,131782,24
129115-17,129115,17
128324-28,128324,28
128344-31,128344,31
128432-29,128432,29
128571-44,128571,44
128023-44,128023,44
128227-29,128227,29
127164-58,127164,58
127281-30,127281,30
125592-44,125592,44
126284-31,126284,31
124775-40,124775,40
123532-31,123532,31
122392-20,122392,20
122417-34,122417,34
120503-55,120503,55
121103-58,121103,58
117984-28,117984,28
118976-19,118976,19
119509-31,119509,31
117970-48,117970,48
116016-22,116016,22
116895-28,116895,28
115208-40,115208,40
115323-10,115323,10
115562-24,115562,24
113905-9,113905,9
113668-31,113668,31
112719-17,112719,17
112219-17,112219,17
112509-29,112509,29
111419-9,111419,9
111436-10,111436,10
110188-21,110188,21
110399-17,110399,17
109418-58,109418,58
109460-14,109460,14
108494-19,108494,19
107947-30,107947,30
106562-44,106562,44
105539-10,105539,10
106015-31,106015,31
103830-46,103830,46
104384-21,104384,21
101668-31,101668,31
102930-58,102930,58
100833-23,100833,23
99973-17,99973,17
100411-17,100411,17
100701-32,100701,32
100702-39,100702,39
100072-30,100072,30
100901-19,100901,19
133256-15,133256,15
132411-7,132411,7
132690-48,132690,48
132800-9,132800,9
131933-24,131933,24
132158-24,132158,24
131419-20,131419,20
128277-34,128277,34
128333-19,128333,19
128361-30,128361,30
128460-34,128460,34
128036-24,128036,24
126529-10,126529,10
125414-23,125414,23
123412-22,123412,22
123791-45,123791,45
124412-58,124412,58
124467-35,124467,35
122078-46,122078,46
120564-31,120564,31
121304-44,121304,44
121629-30,121629,30
120219-45,120219,45
120444-35,120444,35
118516-44,118516,44
118635-44,118635,44
118668-23,118668,23
116712-21,116712,21
148124-22,148124,22
115492-6,115492,6
115998-9,115998,9
114458-17,114458,17
114570-30,114570,30
113564-29,113564,29
113747-35,113747,35
