CompoundCityId,cityId,stateId,Entity,Shape
112011-65,112011,65,NOT_FOUND,NOT_FOUND
112516-48,112516,48,FOUND,FOUND
112675-44,112675,44,FOUND,FOUND
112739-36,112739,36,FOUND,NOT_FOUND
112802-10,112802,10,FOUND,FOUND
112992-19,112992,19,FOUND,FOUND
110717-22,110717,22,NOT_FOUND,NOT_FOUND
111117-44,111117,44,NOT_FOUND,NOT_FOUND
111278-58,111278,58,NOT_FOUND,NOT_FOUND
111635-23,111635,23,FOUND,FOUND
111675-44,111675,44,FOUND,NOT_FOUND
111738-34,111738,34,NOT_FOUND,NOT_FOUND
110161-62,110161,62,NOT_FOUND,NOT_FOUND
110178-23,110178,23,NOT_FOUND,NOT_FOUND
110182-45,110182,45,FOUND,FOUND
110387-5,110387,5,NOT_FOUND,NOT_FOUND
110423-6,110423,6,FOUND,FOUND
147111-22,147111,22,FOUND,FOUND
109426-49,109426,49,FOUND,FOUND
109570-63,109570,63,NOT_FOUND,NOT_FOUND
109610-49,109610,49,FOUND,FOUND
109820-32,109820,32,FOUND,FOUND
109921-64,109921,64,NOT_FOUND,FOUND
110118-5,110118,5,FOUND,FOUND
109001-63,109001,63,NOT_FOUND,NOT_FOUND
109101-30,109101,30,FOUND,NOT_FOUND
109228-11,109228,11,NOT_FOUND,NOT_FOUND
109242-22,109242,22,FOUND,NOT_FOUND
109370-24,109370,24,FOUND,FOUND
109376-19,109376,19,FOUND,FOUND
108384-22,108384,22,FOUND,NOT_FOUND
108596-34,108596,34,FOUND,NOT_FOUND
108690-40,108690,40,FOUND,NOT_FOUND
108723-57,108723,57,FOUND,FOUND
108752-36,108752,36,NOT_FOUND,NOT_FOUND
108864-52,108864,52,NOT_FOUND,NOT_FOUND
107864-49,107864,49,FOUND,FOUND
108039-13,108039,13,FOUND,FOUND
108154-7,108154,7,FOUND,NOT_FOUND
108299-65,108299,65,NOT_FOUND,NOT_FOUND
108306-44,108306,44,FOUND,FOUND
108340-20,108340,20,NOT_FOUND,NOT_FOUND
107005-10,107005,10,FOUND,FOUND
107320-57,107320,57,FOUND,FOUND
107371-17,107371,17,FOUND,FOUND
107597-19,107597,19,NOT_FOUND,NOT_FOUND
107664-19,107664,19,NOT_FOUND,NOT_FOUND
107741-31,107741,31,NOT_FOUND,NOT_FOUND
105990-15,105990,15,FOUND,NOT_FOUND
106004-22,106004,22,FOUND,NOT_FOUND
106097-30,106097,30,FOUND,FOUND
106315-29,106315,29,NOT_FOUND,NOT_FOUND
106606-30,106606,30,FOUND,NOT_FOUND
106826-11,106826,11,FOUND,FOUND
105111-49,105111,49,FOUND,FOUND
105183-44,105183,44,FOUND,NOT_FOUND
105239-44,105239,44,FOUND,FOUND
105242-17,105242,17,FOUND,NOT_FOUND
105431-46,105431,46,FOUND,FOUND
105728-58,105728,58,NOT_FOUND,NOT_FOUND
104772-6,104772,6,FOUND,NOT_FOUND
104922-15,104922,15,FOUND,NOT_FOUND
104945-20,104945,20,FOUND,FOUND
104960-20,104960,20,FOUND,FOUND
104985-29,104985,29,FOUND,FOUND
105062-34,105062,34,FOUND,FOUND
103949-49,103949,49,FOUND,FOUND
147039-10,147039,10,FOUND,FOUND
104149-59,104149,59,NOT_FOUND,NOT_FOUND
104166-60,104166,60,NOT_FOUND,NOT_FOUND
104390-65,104390,65,NOT_FOUND,NOT_FOUND
104548-21,104548,21,FOUND,NOT_FOUND
103002-36,103002,36,FOUND,FOUND
103049-49,103049,49,FOUND,FOUND
103183-49,103183,49,NOT_FOUND,NOT_FOUND
103408-5,103408,5,FOUND,FOUND
103475-62,103475,62,NOT_FOUND,NOT_FOUND
103539-30,103539,30,FOUND,NOT_FOUND
102010-55,102010,55,FOUND,FOUND
147008-52,147008,52,NOT_FOUND,NOT_FOUND
102377-19,102377,19,NOT_FOUND,NOT_FOUND
102639-22,102639,22,FOUND,NOT_FOUND
102640-44,102640,44,NOT_FOUND,NOT_FOUND
102820-30,102820,30,FOUND,NOT_FOUND
101372-45,101372,45,FOUND,NOT_FOUND
101726-49,101726,49,FOUND,FOUND
101840-5,101840,5,FOUND,FOUND
101849-44,101849,44,FOUND,NOT_FOUND
101851-4,101851,4,FOUND,FOUND
101892-22,101892,22,FOUND,NOT_FOUND
100327-14,100327,14,FOUND,FOUND
100413-19,100413,19,FOUND,FOUND
100536-49,100536,49,FOUND,FOUND
101024-19,101024,19,NOT_FOUND,NOT_FOUND
101100-34,101100,34,NOT_FOUND,NOT_FOUND
101335-31,101335,31,NOT_FOUND,NOT_FOUND
99565-45,99565,45,NOT_FOUND,NOT_FOUND
99807-65,99807,65,NOT_FOUND,FOUND
99859-49,99859,49,FOUND,FOUND
99878-22,99878,22,FOUND,NOT_FOUND
99888-15,99888,15,FOUND,NOT_FOUND
99929-38,99929,38,NOT_FOUND,NOT_FOUND
132548-34,132548,34,FOUND,NOT_FOUND
132874-22,132874,22,NOT_FOUND,NOT_FOUND
132948-58,132948,58,NOT_FOUND,NOT_FOUND
133066-35,133066,35,FOUND,NOT_FOUND
133088-48,133088,48,FOUND,NOT_FOUND
133215-14,133215,14,FOUND,NOT_FOUND
131419-62,131419,62,NOT_FOUND,FOUND
131490-21,131490,21,FOUND,NOT_FOUND
132234-18,132234,18,FOUND,NOT_FOUND
132345-59,132345,59,NOT_FOUND,FOUND
132401-32,132401,32,FOUND,NOT_FOUND
132453-27,132453,27,FOUND,NOT_FOUND
131160-16,131160,16,FOUND,FOUND
131202-63,131202,63,NOT_FOUND,NOT_FOUND
131216-5,131216,5,FOUND,FOUND
131246-39,131246,39,NOT_FOUND,NOT_FOUND
131303-65,131303,65,NOT_FOUND,FOUND
131370-39,131370,39,FOUND,FOUND
129265-65,129265,65,NOT_FOUND,NOT_FOUND
129326-15,129326,15,FOUND,FOUND
144174-52,144174,52,NOT_FOUND,NOT_FOUND
146915-52,146915,52,NOT_FOUND,NOT_FOUND
130413-49,130413,49,NOT_FOUND,NOT_FOUND
131036-58,131036,58,NOT_FOUND,NOT_FOUND
127517-60,127517,60,NOT_FOUND,FOUND
127668-49,127668,49,NOT_FOUND,NOT_FOUND
128740-31,128740,31,FOUND,NOT_FOUND
128804-20,128804,20,NOT_FOUND,NOT_FOUND
129092-44,129092,44,NOT_FOUND,NOT_FOUND
129241-30,129241,30,FOUND,NOT_FOUND
126882-44,126882,44,NOT_FOUND,NOT_FOUND
126954-44,126954,44,FOUND,NOT_FOUND
127031-36,127031,36,FOUND,NOT_FOUND
127185-19,127185,19,NOT_FOUND,NOT_FOUND
127206-44,127206,44,NOT_FOUND,NOT_FOUND
127270-9,127270,9,FOUND,FOUND
125562-16,125562,16,FOUND,FOUND
126191-63,126191,63,NOT_FOUND,NOT_FOUND
126357-29,126357,29,FOUND,NOT_FOUND
126410-62,126410,62,NOT_FOUND,NOT_FOUND
126652-10,126652,10,NOT_FOUND,NOT_FOUND
126707-49,126707,49,NOT_FOUND,NOT_FOUND
123610-20,123610,20,NOT_FOUND,NOT_FOUND
123864-19,123864,19,NOT_FOUND,NOT_FOUND
124264-30,124264,30,NOT_FOUND,NOT_FOUND
124437-11,124437,11,FOUND,FOUND
124508-32,124508,32,FOUND,NOT_FOUND
125033-31,125033,31,NOT_FOUND,NOT_FOUND
122894-48,122894,48,FOUND,FOUND
122927-27,122927,27,FOUND,NOT_FOUND
122930-58,122930,58,NOT_FOUND,NOT_FOUND
123145-17,123145,17,NOT_FOUND,NOT_FOUND
123239-22,123239,22,FOUND,FOUND
123483-10,123483,10,FOUND,NOT_FOUND
122573-34,122573,34,NOT_FOUND,NOT_FOUND
122582-5,122582,5,FOUND,NOT_FOUND
122671-45,122671,45,FOUND,FOUND
122738-55,122738,55,NOT_FOUND,NOT_FOUND
122857-64,122857,64,NOT_FOUND,FOUND
122859-14,122859,14,NOT_FOUND,NOT_FOUND
144130-21,144130,21,FOUND,NOT_FOUND
121646-49,121646,49,NOT_FOUND,NOT_FOUND
121719-64,121719,64,NOT_FOUND,NOT_FOUND
121988-24,121988,24,FOUND,FOUND
122257-28,122257,28,FOUND,NOT_FOUND
122405-24,122405,24,FOUND,NOT_FOUND
120454-29,120454,29,FOUND,FOUND
120600-44,120600,44,NOT_FOUND,NOT_FOUND
120693-13,120693,13,FOUND,FOUND
121166-63,121166,63,NOT_FOUND,NOT_FOUND
121304-15,121304,15,FOUND,NOT_FOUND
121476-54,121476,54,FOUND,FOUND
119649-38,119649,38,FOUND,NOT_FOUND
119671-49,119671,49,FOUND,FOUND
119788-35,119788,35,FOUND,FOUND
120016-46,120016,46,FOUND,FOUND
120060-19,120060,19,FOUND,FOUND
120080-17,120080,17,NOT_FOUND,NOT_FOUND
